kepid,tce_plnt_num,tce_period,tce_time0bk,tce_duration,tce_depth,tce_prad,tce_model_snr,tce_max_mult_ev,tce_num_transits,tce_impact,tce_steff,tce_sradius,av_training_set,av_pred_class
1162345,2,0.83185,132.227,2.392,6.092,0.5099,2.95,10.41,1609,0.926,6510.00,1.728,"AFP","AFP"
1292087,2,1.09524,132.133,2.122,34.53,0.8916,10.6,9.321,1218,0.2563,6328.00,1.502,"UNK","NTP"
1293031,2,0.719273,132.227,1.521,29.68,1.455,8.302,9.099,1200,0.7,6363.00,2.489,"UNK","NTP"
1162345,3,0.831833,131.919,2.181,27.1,0.9062,11.95,10.03,1611,0.09536,6510.00,1.728,"AFP","AFP"
1164109,1,622.408,162.256,12.01,161.3,2.114,3.719,9.081,3,0.00319,6609.00,1.654,"UNK","NTP"
757450,1,8.88492,134.452,2.078,1.631e+04,10.57,473.3,524,153,0.05677,5332.00,0.843,"PC","PC"
892667,1,2.26211,132.171,7.509,29.41,0.9107,9.239,8.037,599,0.3,6609.00,1.654,"NTP","NTP"
892772,1,5.0926,133.451,3.399,246.5,1.16,15.25,15.62,225,0.3,5037.00,0.751,"AFP","AFP"
1026032,1,8.46044,133.774,4.804,7.65e+04,32.09,2368,3889,164,0.9829,5923.00,0.704,"UNK","AFP"
1026032,2,4.23022,133.998,4.606,2.881e+04,20.58,1311,1440,313,0.9991,5923.00,0.704,"UNK","AFP"
1026133,2,2.69191,132.267,5.53,40.43,1.043,11.97,11.35,499,0.2052,7003.00,1.617,"UNK","NTP"
1026133,1,1.34629,132.842,1.626,31.94,1.364,11.52,10.51,997,0.9948,7003.00,1.617,"UNK","NTP"
1028018,1,0.614378,131.652,1.448,129.3,1.554,10.86,12.81,2172,0.2898,5930.00,1.353,"UNK","NTP"
1026957,1,21.7613,144.779,1.277,1221,2.492,101.3,103.4,62,0.318,4859.00,0.723,"AFP","PC"
1160891,1,0.940463,132.4,3.354,19.39,0.8113,4.058,12.03,1426,0.712,5918.00,1.718,"AFP","AFP"
1160891,2,0.940463,131.66,3.332,111.3,2.13,15.23,12.8,1419,0.895,5918.00,1.718,"AFP","AFP"
1160891,3,0.94052,132.025,3.188,79.63,1.528,18.36,12.82,1425,0.1,5918.00,1.718,"AFP","AFP"
1162150,2,0.778568,131.662,1.399,71.9,4.258,11.18,9.639,1723,0.9013,7090.00,4.311,"AFP","AFP"
1162150,1,0.778574,131.98,1.361,94.81,4.513,14.42,12.86,1715,0.7002,7090.00,4.311,"AFP","AFP"
