kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_teq,koi_srad,koi_steff,koi_tce_plnt_num
10797460,"K00752.01","Kepler-227 b","CONFIRMED",2.26,9.48803557,793.0,0.9270,5455.00,1
10797460,"K00752.02","Kepler-227 c","CONFIRMED",2.83,54.4183827,443.0,0.9270,5455.00,2
10811496,"K00753.01",,"CANDIDATE",14.6,19.89913995,638.0,0.8680,5853.00,1
10848459,"K00754.01",,"FALSE POSITIVE",33.46,1.736952453,1395.0,0.7910,5805.00,1
10854555,"K00755.01","Kepler-664 b","CONFIRMED",2.75,2.525591777,1406.0,1.0460,6031.00,1
10872983,"K00756.01","Kepler-228 d","CONFIRMED",3.9,11.09432054,835.0,0.9720,6046.00,1
10872983,"K00756.02","Kepler-228 c","CONFIRMED",2.77,4.13443512,1160.0,0.9720,6046.00,2
10872983,"K00756.03","Kepler-228 b","CONFIRMED",1.59,2.56658897,1360.0,0.9720,6046.00,3
6721123,"K00114.01",,"FALSE POSITIVE",39.21,7.36178958,1342.0,1.9580,6227.00,1
10910878,"K00757.01","Kepler-229 c","CONFIRMED",5.76,16.06864674,600.0,0.8480,5031.00,1
11446443,"K00001.01","Kepler-1 b","CONFIRMED",13.04,2.470613377,1339.0,0.9640,5820.00,1
10666592,"K00002.01","Kepler-2 b","CONFIRMED",16.1,2.204735417,2048.0,1.9520,6440.00,1
6922244,"K00010.01","Kepler-8 b","CONFIRMED",14.59,3.522498429,1521.0,1.4510,6225.00,1
10984090,"K00112.02","Kepler-466 c","CONFIRMED",1.16,3.709214104,1206.0,1.0220,5833.00,2
10419211,"K00742.01",,"FALSE POSITIVE",150.51,11.521446064,753.0,0.8480,5795.00,1
10464078,"K00743.01",,"FALSE POSITIVE",7.18,19.40393776,523.0,0.6800,5043.00,1
10480982,"K00744.01",,"FALSE POSITIVE",49.29,19.221388942,698.0,0.9470,6117.00,1
10485250,"K00745.01",,"FALSE POSITIVE",7.94,16.46983774,595.0,0.7860,5152.00,1
10526549,"K00746.01","Kepler-660 b","CONFIRMED",2.47,9.27358173,649.0,0.6960,4856.00,1
10583066,"K00747.01","Kepler-661 b","CONFIRMED",2.85,6.02930329,678.0,0.6720,4537.00,1
10583180,"K00748.01",,"FALSE POSITIVE",1.58,2.696370652,1066.0,0.8190,4989.00,1
10601284,"K00749.01","Kepler-226 c","CONFIRMED",2.55,5.349553819,919.0,0.9100,5185.00,1
10601284,"K00749.02","Kepler-226 b","CONFIRMED",1.7,3.94105221,1018.0,0.9100,5185.00,2
10601284,"K00749.03","Kepler-226 d","CONFIRMED",1.3,8.10904807,800.0,0.9100,5185.00,3
2306756,"K00113.01",,"FALSE POSITIVE",41.5,386.6030528,297.0,1.5800,5543.00,1
10662202,"K00750.01","Kepler-662 b","CONFIRMED",2.95,21.67699193,530.0,0.8280,4954.00,1
10682541,"K00751.01","Kepler-663 b","CONFIRMED",2.78,4.99677968,917.0,0.8470,5339.00,1
11460018,"K00769.01","Kepler-671 b","CONFIRMED",2.3,4.280963604,1012.0,0.8310,5644.00,1
11463211,"K00770.01",,"FALSE POSITIVE",4.53,1.50635409,1452.0,0.8310,5714.00,1
11465813,"K00771.01",,"FALSE POSITIVE",14.14,670.645531,196.0,0.9830,5520.00,1
11493732,"K00772.01",,"FALSE POSITIVE",39.87,61.2563628,505.0,1.0910,6144.00,1
11507101,"K00773.01","Kepler-672 b","CONFIRMED",2.82,38.3775486,529.0,1.0360,5481.00,1
10910878,"K00757.02","Kepler-229 d","CONFIRMED",3.86,41.19725502,439.0,0.8480,5031.00,2
10910878,"K00757.03","Kepler-229 b","CONFIRMED",2.65,6.252962249,823.0,0.8480,5031.00,3
10987985,"K00758.01","Kepler-665 b","CONFIRMED",3.1,16.01308419,593.0,0.8260,5015.00,1
11018648,"K00759.01","Kepler-230 b","CONFIRMED",3.36,32.62876672,506.0,0.7980,5586.00,1
11018648,"K00759.02","Kepler-230 c","CONFIRMED",2.12,91.7732862,359.0,0.7980,5586.00,2
11138155,"K00760.01","Kepler-1976 b","CONFIRMED",12.21,4.959319244,1103.0,1.0820,5712.00,1
11152159,"K00761.01",,"FALSE POSITIVE",6.54,2.701287801,1222.0,0.9100,5550.00,1
11153539,"K00762.01","Kepler-666 b","CONFIRMED",2.1,4.49876511,1133.0,0.9690,6075.00,1
11242721,"K00763.01",,"FALSE POSITIVE",12.42,19.651209505,730.0,1.0630,6074.00,1
9579641,"K00115.01","Kepler-105 b","CONFIRMED",2.94,5.412203927,1093.0,1.0870,5779.00,1
11304958,"K00764.01","Kepler-667 b","CONFIRMED",5.5,41.43958662,516.0,1.0460,5468.00,1
11391957,"K00765.01","Kepler-668 b","CONFIRMED",2.52,8.35389523,790.0,0.7870,5592.00,1
11403044,"K00766.01","Kepler-669 b","CONFIRMED",4.43,4.125543472,1243.0,1.1030,6174.00,1
11414511,"K00767.01","Kepler-670 b","CONFIRMED",12.21,2.816504904,1219.0,0.9550,5532.00,1
11442465,"K00768.01",,"FALSE POSITIVE",7.34,33.93373447,430.0,0.7050,5040.00,1
12110942,"K00786.01","Kepler-680 b","CONFIRMED",1.89,3.689920099,1147.0,0.9170,5880.00,1
12366084,"K00787.01","Kepler-232 b","CONFIRMED",3.25,4.431238488,1104.0,1.0150,5714.00,1
12366084,"K00787.02","Kepler-232 c","CONFIRMED",3.95,11.37936986,806.0,1.0150,5714.00,2
